[Name]
User Points

[Data]
"Time","Monitor Point: Monitor Point 1 (DT)","Monitor Point: Monitor Point 1 (Velocity v)","Monitor Point: Monitor Point 1min (DT)","Monitor Point: Monitor Point 1min (Velocity v)","Monitor Point: Monitor Point 2 (DT)","Monitor Point: Monitor Point 2 (Velocity v)","Monitor Point: Monitor Point 2min (DT)","Monitor Point: Monitor Point 2min (Velocity v)","Monitor Point: Monitor Point 3 (DT)","Monitor Point: Monitor Point 3 (Velocity v)","Monitor Point: Monitor Point 3min (DT)","Monitor Point: Monitor Point 3min (Velocity v)","Monitor Point: Monitor Point 4 (DT)","Monitor Point: Monitor Point 4 (Velocity v)","Monitor Point: Monitor Point 4min (DT)","Monitor Point: Monitor Point 4min (Velocity v)","Monitor Point: Monitor Point 5 (DT)","Monitor Point: Monitor Point 5 (Velocity v)","Monitor Point: Monitor Point 5min (DT)","Monitor Point: Monitor Point 5min (Velocity v)","Monitor Point: Monitor Point 6 (DT)","Monitor Point: Monitor Point 6 (Velocity v)","Monitor Point: Monitor Point 6min (DT)","Monitor Point: Monitor Point 6min (Velocity v)"
3.40000010e+00,2.82874060e+00,7.69642156e-06,2.68330002e+00,7.61378988e-06,6.49219275e-01,7.82584812e-06,9.04079676e-01,7.80081882e-06,1.66063622e-01,7.44382851e-06,1.29403740e-01,7.28312853e-06,1.91079881e-02,6.76914578e-06,3.89607549e-02,6.89657918e-06,2.54460378e-03,6.21567187e-06,1.47116662e-03,5.92159176e-06,2.48024531e-04,5.64288439e-06,1.84995486e-04,5.40720976e-06
3.50000000e+00,2.91036057e+00,7.91814182e-06,2.75754547e+00,7.83103314e-06,6.86279833e-01,8.07136257e-06,9.46397781e-01,8.03787134e-06,1.80535614e-01,7.68722020e-06,1.40895322e-01,7.51884818e-06,2.17066128e-02,6.99807288e-06,4.33619171e-02,7.12429846e-06,2.99767475e-03,6.42929899e-06,1.73218944e-03,6.12304621e-06,3.02762899e-04,5.83903511e-06,2.24841322e-04,5.59305226e-06
3.59999990e+00,2.99069881e+00,8.14001851e-06,2.83040380e+00,8.04833780e-06,7.23612487e-01,8.31754187e-06,9.88572180e-01,8.27535041e-06,1.95505336e-01,7.93137406e-06,1.52778164e-01,7.75533954e-06,2.45167613e-02,7.22827417e-06,4.80206162e-02,7.35297999e-06,3.50666116e-03,6.64440540e-06,2.02544639e-03,6.32578212e-06,3.66621069e-04,6.03669514e-06,2.71138124e-04,5.78020854e-06
3.70000005e+00,3.06979299e+00,8.36215349e-06,2.90191054e+00,8.26567975e-06,7.61180341e-01,8.56494626e-06,1.03057325e+00,8.51348886e-06,2.10952431e-01,8.17698492e-06,1.65032282e-01,7.99287864e-06,2.75421925e-02,7.46001751e-06,5.29336669e-02,7.58280612e-06,4.07513697e-03,6.86104340e-06,2.35299999e-03,6.52971676e-06,4.40601289e-04,6.23574488e-06,3.24565684e-04,5.96845621e-06
3.79999995e+00,3.14768052e+00,8.58394742e-06,2.97210169e+00,8.48261061e-06,7.98949659e-01,8.81252708e-06,1.07237458e+00,8.75154183e-06,2.26856738e-01,8.42329518e-06,1.77637845e-01,8.23102346e-06,3.07860952e-02,7.69275812e-06,5.80972210e-02,7.81341532e-06,4.70661325e-03,7.07875779e-06,2.71686795e-03,6.73459681e-06,5.25750453e-04,6.43584917e-06,3.85829306e-04,6.15763702e-06
3.90000010e+00,3.22439742e+00,8.80546213e-06,3.04101467e+00,8.69911673e-06,8.36889446e-01,9.06031346e-06,1.11395347e+00,8.98943017e-06,2.43198603e-01,8.67019298e-06,1.90575331e-01,8.46956482e-06,3.42509858e-02,7.92639275e-06,6.35068491e-02,8.04459069e-06,5.40452078e-03,7.29742032e-06,3.11901094e-03,6.94020628e-06,6.23156317e-04,6.63686478e-06,4.55656933e-04,6.34752769e-06
4.00000000e+00,3.29997921e+00,9.02612101e-06,3.10868597e+00,8.91470700e-06,8.74971330e-01,9.30766328e-06,1.15528977e+00,9.22664640e-06,2.59958774e-01,8.91704258e-06,2.03825593e-01,8.70796794e-06,3.79388258e-02,8.16040756e-06,6.91576079e-02,8.27583972e-06,6.17219741e-03,7.51661992e-06,3.56132560e-03,7.14616954e-06,7.33943947e-04,6.83847202e-06,5.34795632e-04,6.53783536e-06
4.09999990e+00,3.37445879e+00,9.24591041e-06,3.17515111e+00,9.12929772e-06,9.13169324e-01,9.55453197e-06,1.19636631e+00,9.46306591e-06,2.77118564e-01,9.16375302e-06,2.17369989e-01,8.94602908e-06,4.18510251e-02,8.39465702e-06,7.50441253e-02,8.50695778e-06,7.01287482e-03,7.73622196e-06,4.04563406e-03,7.35229605e-06,8.59272026e-04,7.04054082e-06,6.24008710e-04,6.72837359e-06
4.19999981e+00,3.44786859e+00,9.46458931e-06,3.24044442e+00,9.34268337e-06,9.51459706e-01,9.80059667e-06,1.23716795e+00,9.69842677e-06,2.94659823e-01,9.41001599e-06,2.31190354e-01,9.18346359e-06,4.59884554e-02,8.62883189e-06,8.11606720e-02,8.73767021e-06,7.92967808e-03,7.95594860e-06,4.57367953e-03,7.55837073e-06,1.00032880e-03,7.24283655e-06,7.24071928e-04,6.91897048e-06
4.30000019e+00,3.52023959e+00,9.68224322e-06,3.30459857e+00,9.55489759e-06,9.89820838e-01,1.00459456e-05,1.27768219e+00,9.93274989e-06,3.12564999e-01,9.65588424e-06,2.45269045e-01,9.42023144e-06,5.03515154e-02,8.86294492e-06,8.75011981e-02,8.96791698e-06,8.92562978e-03,8.17578257e-06,5.14711719e-03,7.76431898e-06,1.15832849e-03,7.44533327e-06,8.35770275e-04,7.10955010e-06
